CustomerID,Recency,Frequency,MonetaryValue,cluster
12444.0,22,5,5005.46,1
12445.0,23,1,133.4,0
12446.0,58,1,1002.3100000000001,2
12447.0,244,1,476.49,3
12448.0,45,1,449.45,0
12449.0,23,4,4067.29,2
12450.0,157,2,197.88,3
12451.0,11,5,9035.52,1
12452.0,17,2,430.57,0
12453.0,135,1,707.09,3
12454.0,57,1,3528.34,2
12455.0,74,6,2466.86,2
12456.0,45,3,3181.04,2
12457.0,67,7,2363.23,2
12458.0,72,2,947.4,2
12461.0,95,2,826.88,2
12462.0,19,2,1189.59,0
12463.0,54,4,1344.78,2
12464.0,11,8,1212.05,1
12465.0,18,2,742.1899999999999,0
12468.0,188,2,729.5400000000001,3
12471.0,3,30,19788.65,1
12472.0,33,7,6572.11,1
12473.0,30,5,3928.0499999999997,2
12474.0,18,18,7324.09,1
12475.0,54,1,723.38,0
12476.0,16,11,6816.42,1
12477.0,23,6,13219.74,1
12478.0,4,1,680.99,0
12479.0,12,1,527.2,0
12480.0,29,4,3281.63,2
12481.0,23,10,5579.82,1
12483.0,18,8,2484.98,1
12484.0,33,6,4527.32,2
12488.0,10,3,1298.66,0
12489.0,337,1,334.93,3
12490.0,6,10,5417.93,1
12491.0,39,1,460.40000000000003,0
12492.0,64,2,263.21000000000004,3
12493.0,166,2,433.74,3
12494.0,16,7,1246.1000000000001,1
12497.0,82,1,1043.1,3
12498.0,22,3,403.70000000000005,0
12500.0,24,11,4257.82,1
12501.0,337,1,2169.39,3
12502.0,96,5,3723.87,2
12504.0,19,2,482.04999999999995,0
12506.0,233,1,73.5,3
12507.0,135,3,1304.81,2
12508.0,27,2,397.88,0
12509.0,285,1,176.5,3
12510.0,143,2,982.5699999999999,2
12512.0,67,2,132.18,3
12513.0,113,1,612.29,3
12514.0,268,1,1017.68,3
12515.0,354,1,383.7,3
12516.0,78,2,1312.06,2
12517.0,29,5,2481.6,2
12518.0,1,5,2056.89,1
12519.0,64,1,330.84,3
12520.0,80,5,2634.26,2
12521.0,143,1,599.68,3
12522.0,40,2,192.72,0
12523.0,20,11,1789.77,1
12524.0,10,8,4485.72,1
12526.0,1,3,1316.66,0
12527.0,82,3,348.71000000000004,3
12528.0,10,6,1933.48,1
12530.0,60,4,1662.28,2
12531.0,15,1,125.22,0
12532.0,31,1,349.83000000000004,0
12534.0,131,1,1089.18,3
12535.0,92,2,716.35,2
12536.0,44,3,12601.830000000002,2
12538.0,30,1,363.95,0
12539.0,23,4,5568.35,2
12540.0,20,17,13400.24,1
12541.0,30,3,981.18,2
12544.0,37,1,372.7,0
12545.0,76,2,1000.39,2
12546.0,47,2,1161.5,2
12547.0,198,2,207.79999999999998,3
12548.0,167,1,95.19999999999999,3
12550.0,80,1,964.83,3
12551.0,358,1,168.0,3
12552.0,39,2,437.82,0
12553.0,9,10,3692.28,1
12556.0,51,2,599.56,0
12557.0,17,5,11990.960000000001,1
12558.0,8,1,269.96,0
12559.0,311,2,561.71,3
12560.0,6,3,2134.01,0
12561.0,303,1,238.85,3
12562.0,9,7,3781.7400000000002,1
12564.0,262,1,456.9,3
12565.0,289,1,145.92,3
12566.0,87,1,351.65,3
12567.0,23,10,9401.28,1
12569.0,3,32,4124.69,1
12571.0,40,2,519.61,0
12572.0,9,2,1020.42,0
12573.0,228,1,160.54000000000002,3
12574.0,316,1,218.45,3
12576.0,36,5,1315.83,2
12577.0,36,3,626.6,2
12578.0,22,2,2794.51,2
12579.0,79,1,440.42,3
12580.0,247,1,415.7,3
12581.0,40,1,197.71,0
12582.0,239,2,511.36,3
12583.0,3,15,7281.38,1
12584.0,4,9,2338.15,1
12585.0,235,2,2040.1,2
12586.0,18,1,196.94000000000003,0
12587.0,8,1,144.0,0
12588.0,40,1,214.89999999999998,0
12589.0,29,2,646.68,0
12590.0,212,2,9864.26,2
12591.0,318,1,452.84999999999997,3
12592.0,93,2,437.6,3
12593.0,109,3,418.09999999999997,3
12594.0,38,10,3338.2200000000003,1
12596.0,52,2,618.27,2
12597.0,20,4,3811.22,2
12598.0,10,8,3023.08,1
12599.0,30,7,1032.58,2
12600.0,29,10,2599.04,1
12601.0,190,5,577.0600000000001,2
12602.0,59,1,153.12,3
12603.0,22,1,739.1999999999999,0
12604.0,80,2,254.18,3
12607.0,61,1,1579.51,2
12609.0,79,3,1126.85,2
12610.0,23,5,2099.54,2
12611.0,53,1,1193.32,2
12612.0,75,1,704.0400000000001,3
12613.0,58,5,3344.38,2
12614.0,278,1,315.6,3
12615.0,3,4,2291.19,1
12616.0,96,2,713.3,2
12617.0,30,1,352.98,0
12618.0,22,1,177.31,0
12619.0,17,9,3641.24,1
12620.0,15,3,1339.41,2
12621.0,2,20,13689.67,1
12622.0,233,1,180.1,3
12623.0,277,1,305.1,3
12624.0,107,2,641.13,3
12625.0,212,2,2683.82,2
12626.0,24,9,6620.48,1
12627.0,11,7,4478.53,1
12628.0,5,3,786.46,0
12630.0,10,2,1270.88,0
12631.0,58,1,640.5,3
12633.0,59,4,2163.98,2
12635.0,90,2,1689.18,2
12637.0,68,8,6002.9,2
12638.0,34,1,671.69,0
12639.0,239,1,486.1,3
12640.0,24,3,1174.58,2
12641.0,116,1,185.9,3
12642.0,26,3,1013.26,2
12643.0,129,6,3344.64,2
12644.0,130,1,477.91,3
12645.0,34,4,1775.18,2
12646.0,5,2,1346.97,0
12647.0,23,12,3722.82,1
12648.0,155,1,318.05,3
12649.0,108,3,623.51,2
12650.0,4,1,314.44,0
12651.0,335,1,114.0,3
12652.0,332,1,919.98,3
12653.0,149,2,2209.85,2
12654.0,11,5,601.98,0
12656.0,18,5,4051.17,1
12657.0,12,4,1643.18,2
12658.0,19,1,686.05,0
12659.0,30,1,91.68,0
12660.0,12,1,245.1,0
12662.0,1,11,3849.78,1
12664.0,9,9,4881.88,1
12665.0,325,1,63.0,3
12667.0,59,1,620.13,3
12668.0,12,4,3807.15,1
12669.0,151,3,2744.0299999999997,2
12670.0,11,5,2996.05,1
12672.0,330,1,225.89999999999998,3
12673.0,6,2,610.52,0
12674.0,39,4,1970.6,2
12676.0,25,6,1331.39,2
12678.0,43,12,17628.46,1
12679.0,59,4,1113.02,2
12680.0,1,4,862.81,0
12681.0,15,22,13787.54,1
12682.0,4,31,12279.82,1
12683.0,5,15,8476.57,1
12684.0,8,7,2283.63,1
12685.0,29,6,2863.08,2
12686.0,372,1,89.14,3
12688.0,114,1,4873.8099999999995,2
12689.0,26,2,1247.61,2
12690.0,206,1,389.01,3
12691.0,29,6,1035.8,2
12693.0,128,4,855.91,2
12694.0,71,2,869.67,2
12695.0,8,4,582.1,0
12697.0,29,3,957.59,2
12700.0,8,4,4939.99,1
12701.0,80,2,797.71,2
12702.0,20,1,219.0,0
12703.0,72,1,283.55,3
12704.0,8,8,2340.84,1
12705.0,16,9,6868.29,1
12707.0,292,1,603.42,3
12708.0,30,10,2712.91,1
12709.0,16,15,9706.52,1
12710.0,97,3,1149.02,2
12712.0,29,13,4396.13,1
12713.0,1,1,848.55,0
12714.0,10,5,4708.86,1
12715.0,107,1,343.36,3
12716.0,4,2,1053.49,0
12717.0,152,2,1030.98,2
12718.0,72,1,238.25,3
12719.0,6,2,644.95,0
12720.0,3,25,5781.73,1
12721.0,32,6,2656.13,2
12722.0,86,4,997.63,2
12723.0,4,5,725.07,0
12724.0,6,4,1031.41,0
12725.0,372,1,427.8,3
12726.0,29,7,2609.1,2
12727.0,11,7,3980.7,1
12728.0,72,4,836.33,2
12729.0,114,1,453.01,3
12731.0,24,12,18895.91,1
12732.0,180,1,236.26000000000002,3
12733.0,235,1,383.95,3
12734.0,353,1,110.39999999999999,3
12735.0,316,2,779.5699999999999,3
12736.0,333,1,234.0,3
12738.0,373,1,155.35,3
12739.0,79,2,1013.04,2
12740.0,64,1,427.6,3
12743.0,135,2,540.13,3
12744.0,52,7,21279.29,1
12747.0,3,11,4196.01,1
12748.0,1,210,33053.19,1
12749.0,4,5,4090.88,1
12750.0,129,1,275.88,3
12752.0,82,1,4366.78,2
12753.0,23,6,21429.39,1
12754.0,236,3,3010.74,2
12755.0,281,2,3811.95,2
12756.0,87,1,112.07999999999998,3
12757.0,16,13,7834.650000000001,1
12758.0,117,2,2791.59,2
12759.0,53,3,1531.44,2
12762.0,8,2,1898.52,0
12763.0,139,2,494.08,3
12764.0,317,1,1693.88,3
12766.0,4,7,6989.63,1
12769.0,239,1,1143.6,3
12770.0,211,1,1351.45,3
12772.0,60,1,892.47,3
12775.0,18,5,1386.04,2
12778.0,20,6,822.23,2
12779.0,38,8,3981.36,1
12781.0,64,2,826.74,2
12782.0,5,5,2330.92,1
12783.0,3,6,2225.91,1
12784.0,10,2,532.8199999999999,0
12785.0,365,1,311.95,3
12787.0,10,3,463.66,0
12789.0,66,1,91.85,3
12790.0,193,1,324.92,3
12791.0,374,1,192.60000000000002,3
12792.0,257,1,400.53999999999996,3
12793.0,335,2,545.48,3
12794.0,54,2,860.41,2
12795.0,19,1,430.48,0
12797.0,366,1,254.03,3
12798.0,11,3,6977.04,1
12802.0,187,1,427.58,3
12808.0,37,3,483.65000000000003,0
12809.0,178,1,489.31,3
12811.0,261,3,514.85,3
12812.0,45,1,229.64000000000001,3
12814.0,102,1,125.92,3
12815.0,148,2,1063.46,2
12816.0,96,2,572.2,3
12817.0,282,1,166.04,3
12818.0,262,1,1542.08,3
12820.0,4,4,942.34,0
12821.0,215,1,92.72,3
12822.0,71,2,948.88,2
12823.0,75,5,1759.5,2
12824.0,60,1,397.12,3
12826.0,3,7,1474.72,1
12827.0,6,3,430.15000000000003,0
12828.0,3,6,1018.71,1
12829.0,337,2,293.0,3
12830.0,38,6,6814.64,1
12831.0,263,1,215.05,3
12832.0,33,2,383.03,0
12833.0,146,1,417.38,3
12834.0,283,1,312.38,3
12836.0,60,4,2610.36,2
12837.0,174,1,134.1,3
12838.0,34,2,671.95,0
12839.0,3,14,5591.42,1
12840.0,144,4,2726.77,2
12841.0,5,25,3991.58,1
12842.0,71,2,1118.99,2
12843.0,66,8,1702.26,2
12844.0,30,2,325.96000000000004,0
12845.0,268,4,354.09,3
12847.0,23,1,843.64,0
12849.0,32,2,1010.29,2
12851.0,97,1,131.81,3
12852.0,295,1,311.55,3
12853.0,135,6,1957.1000000000001,2
12854.0,79,3,1316.25,2
12855.0,373,1,38.1,3
12856.0,8,6,2170.78,1
12857.0,211,2,1106.4,2
12863.0,53,1,521.2,3
12864.0,139,1,147.12,3
12865.0,27,2,1568.23,2
12866.0,284,1,559.12,3
12867.0,27,7,4009.34,1
12868.0,186,6,1607.0600000000002,2
12871.0,85,2,380.64,3
12872.0,327,2,599.97,3
12873.0,283,1,374.0,3
12875.0,144,2,343.2300000000001,3
12876.0,58,2,2218.02,2
12877.0,4,12,1535.77,1
12878.0,237,2,854.99,3
12879.0,45,3,573.22,2
12881.0,276,1,298.0,3
12882.0,10,2,1463.04,0
12883.0,25,4,703.47,2
12884.0,89,1,309.05,3
12885.0,64,3,1175.22,2
12886.0,68,2,1378.4,2
12888.0,215,2,354.12,3
12890.0,25,1,376.71999999999997,0
12891.0,186,3,331.0,3
12893.0,31,1,176.55,0
12895.0,43,2,372.8,0
12897.0,205,2,216.5,3
12901.0,9,28,17654.54,1
12902.0,265,1,138.68,3
12904.0,19,2,496.06,0
12906.0,12,5,2919.81,1
12908.0,177,2,750.0,3
12909.0,40,5,2178.67,2
12910.0,24,8,3075.04,1
12912.0,3,5,1662.3,1
12913.0,5,5,2483.63,1
12915.0,149,2,363.65,3
12916.0,139,4,2944.95,2
12917.0,129,1,594.0,3
12919.0,9,6,1335.19,1
12920.0,18,1,162.78,0
12921.0,10,37,16587.09,1
12922.0,162,1,405.38,3
12923.0,65,1,172.82,3
12924.0,89,4,933.7,2
12925.0,5,2,694.05,0
12928.0,36,5,2062.7000000000003,2
12929.0,312,1,117.85,3
12930.0,79,2,415.8,3
12931.0,22,15,42055.96,1
12933.0,25,3,607.53,0
12935.0,3,7,2160.7,1
12936.0,18,4,1063.9,2
12937.0,16,4,1504.27,2
12938.0,26,1,114.14,0
12939.0,65,8,11581.8,1
12940.0,55,2,899.69,2
12942.0,132,3,675.6,2
12944.0,36,2,604.51,0
12945.0,289,1,462.95,3
12947.0,144,6,1603.99,2
12948.0,17,7,2064.95,1
12949.0,31,8,4167.22,1
12950.0,3,3,1843.0,0
12951.0,9,6,1064.07,1
12952.0,6,4,1387.79,0
12953.0,10,1,329.85,0
12955.0,2,11,4757.16,1
12956.0,307,1,108.07,3
12957.0,10,8,4017.54,1
12962.0,8,2,266.39,0
12963.0,9,8,1856.63,1
12965.0,90,1,769.8100000000001,3
12966.0,10,1,160.18,0
12967.0,359,2,1660.9,2
12968.0,113,1,135.95,3
12970.0,8,4,405.47,0
12971.0,4,86,11189.91,1
12974.0,198,1,144.8,3
12976.0,212,1,738.6,3
12977.0,157,1,39.239999999999995,3
12980.0,158,9,7374.900000000001,2
12981.0,30,2,372.21999999999997,0
12982.0,243,1,390.54,3
12984.0,19,1,97.5,0
12985.0,1,2,1239.38,0
12987.0,74,2,558.7,3
12988.0,293,1,505.82,3
12989.0,4,15,6924.110000000001,1
12990.0,32,3,409.5,0
12991.0,24,2,503.76,0
12993.0,24,4,414.76,0
12994.0,5,3,974.4200000000001,0
12995.0,86,1,211.32,3
12997.0,23,4,1226.89,2
12999.0,197,3,455.88,3
13000.0,107,3,534.85,2
13001.0,5,13,9785.970000000001,1
13002.0,319,1,120.94999999999999,3
13003.0,106,3,149.05,3
13004.0,12,18,5655.91,1
13005.0,174,2,513.7,3
13006.0,57,1,81.57,3
13008.0,324,1,229.46999999999997,3
13011.0,373,1,50.550000000000004,3
13012.0,10,8,1646.8400000000001,1
13013.0,2,13,4810.9400000000005,1
13014.0,11,10,3466.2799999999997,1
13015.0,54,5,3339.64,2
13016.0,74,3,789.89,2
13017.0,8,1,204.0,0
13018.0,17,28,7277.7,1
13021.0,5,9,2616.38,1
13023.0,65,2,689.9,2
13026.0,2,5,975.36,1
13027.0,114,6,6912.0,2
13028.0,23,2,661.3199999999999,0
13029.0,31,3,1247.5,2
13030.0,12,2,752.4399999999999,0
13032.0,53,2,1010.18,2
13033.0,358,1,190.55,3
13034.0,55,2,642.77,2
13035.0,74,2,921.88,2
13037.0,139,3,881.07,2
13038.0,81,3,908.46,2
13040.0,9,2,676.99,0
13043.0,274,1,516.42,3
13044.0,292,1,560.47,3
13045.0,100,1,305.28000000000003,3
13046.0,31,2,629.31,0
13047.0,32,10,3237.54,1
13048.0,15,4,1819.41,2
13049.0,65,2,656.6800000000001,2
13050.0,15,17,5836.86,1
13052.0,213,1,348.15000000000003,3
13055.0,79,3,1214.41,2
13058.0,25,3,271.40000000000003,0
13059.0,250,1,183.4,3
13060.0,254,1,307.53,3
13061.0,73,1,248.61,3
13062.0,192,1,346.98,3
13064.0,13,4,1105.59,2
13065.0,374,1,205.86,3
13066.0,25,2,470.8,0
13067.0,83,1,115.46000000000001,3
13068.0,11,2,344.0,0
13069.0,1,24,4431.44,1
13070.0,193,1,228.8,3
13072.0,267,1,177.15,3
13075.0,130,1,919.61,3
13077.0,2,4,728.02,0
13078.0,4,26,12627.94,1
13079.0,5,5,220.10000000000002,0
13080.0,180,1,58.08,3
13081.0,12,11,28337.38,1
13082.0,127,9,3613.63,2
13083.0,5,2,303.75,0
13085.0,158,2,416.08000000000004,3
13089.0,3,97,58762.08,1
13090.0,9,14,8910.82,1
13091.0,29,1,345.82,0
13092.0,71,5,477.83,2
13093.0,276,8,7832.47,2
13094.0,22,12,1927.3200000000002,1
13095.0,71,1,74.39999999999999,3
13097.0,33,10,6003.22,1
13098.0,2,28,28882.44,1
13099.0,100,1,207.35999999999999,3
13101.0,235,1,101.19,3
13102.0,2,24,6424.09,1
13103.0,40,1,243.94,0
13104.0,4,6,1098.48,1
13106.0,134,1,76.5,3
13107.0,45,4,1531.6200000000001,2
13108.0,373,1,350.06,3
13109.0,60,2,786.54,2
13110.0,32,7,1488.67,2
13113.0,1,24,12245.960000000001,1
13115.0,12,4,2294.78,2
13116.0,139,1,501.14,3
13117.0,22,8,984.91,2
13118.0,20,5,1197.81,2
13120.0,239,1,30.599999999999998,3
13121.0,270,1,283.73,3
13122.0,95,2,922.39,2
13124.0,90,3,3756.33,2
13126.0,5,8,2099.64,1
13127.0,78,1,259.17,3
13130.0,95,1,64.0,3
13131.0,24,3,1073.3,2
13132.0,262,1,77.3,3
13133.0,274,2,109.8,3
13134.0,86,4,1793.58,2
13135.0,197,1,3096.0,2
13136.0,57,5,2607.61,2
13137.0,11,8,3603.29,1
13138.0,23,6,962.39,2
13139.0,17,7,5064.94,1
13140.0,109,3,422.47,3
13141.0,85,5,2388.75,2
13142.0,20,1,307.09,0
13144.0,333,1,110.95,3
13145.0,40,4,618.52,2
13146.0,27,1,228.91,0
13147.0,11,4,712.8000000000001,0
13148.0,30,12,3683.26,1
13149.0,15,4,1676.06,2
13151.0,296,1,1257.8700000000001,3
13153.0,6,1,486.22,0
13155.0,34,4,971.76,2
13157.0,50,4,1741.22,2
13158.0,95,4,1201.06,2
13159.0,9,4,1429.35,0
13160.0,23,1,91.8,0
13161.0,314,1,112.75,3
13162.0,123,4,1688.29,2
13165.0,47,2,1021.48,2
13166.0,284,1,417.2,3
13167.0,19,4,791.33,2
13168.0,37,4,1299.59,2
13169.0,64,2,712.88,2
13170.0,27,1,108.81,0
13171.0,22,3,468.41,0
13173.0,5,2,353.65,0
13174.0,17,3,2742.82,2
13176.0,47,1,481.49,0
13177.0,65,1,282.45,3
13178.0,27,11,5725.47,1
13182.0,46,1,121.18,3
13183.0,8,9,3957.78,1
13184.0,15,10,1668.95,1
13185.0,268,1,71.4,3
13186.0,40,3,1575.89,2
13187.0,338,1,236.02,3
13188.0,12,1,114.60000000000001,0
13189.0,19,2,260.68,0
13192.0,96,2,911.94,2
13193.0,62,1,112.08,3
13194.0,136,1,60.7,3
13196.0,12,4,1797.78,2
13198.0,11,6,3401.2400000000002,1
13199.0,4,38,9817.12,1
13200.0,20,4,870.09,2
13203.0,10,4,869.46,0
13207.0,16,2,250.26000000000002,0
13208.0,59,6,1217.65,2
13209.0,31,8,5891.61,1
13210.0,94,1,353.48,3
13211.0,11,3,1095.42,0
13212.0,20,3,786.83,0
13213.0,57,5,1520.58,2
13216.0,268,1,333.74,3
13217.0,123,3,533.98,2
13218.0,128,1,62.63999999999999,3
13220.0,79,4,819.2900000000001,2
13221.0,241,2,847.41,3
13223.0,201,2,163.20000000000002,3
13224.0,61,2,2155.95,2
13225.0,4,7,6463.84,1
13226.0,274,1,108.21000000000001,3
13227.0,202,1,257.7,3
13228.0,82,1,358.0,3
13229.0,226,1,160.95,3
13230.0,5,14,2755.63,1
13232.0,13,7,1328.35,1
13233.0,75,2,605.12,2
13235.0,213,1,1031.07,3
13236.0,25,2,744.85,0
13238.0,18,4,700.73,0
13239.0,262,1,329.56,3
13240.0,97,4,663.65,2
13242.0,113,3,270.40000000000003,3
13243.0,204,1,585.12,3
13244.0,93,1,121.74000000000001,3
13245.0,51,1,430.5,3
13246.0,19,6,1961.52,2
13247.0,18,4,501.12,0
13248.0,125,2,465.68,3
13249.0,93,3,711.41,2
13253.0,157,2,1030.4,2
13255.0,10,2,399.51,0
13256.0,15,1,0.0,3
13258.0,12,3,672.83,0
13259.0,62,1,283.18,3
13260.0,62,1,557.62,3
13261.0,269,2,944.1,3
13262.0,264,1,200.29,3
13263.0,2,35,7436.93,1
13265.0,54,5,2092.66,2
13266.0,12,12,3834.2599999999998,1
13267.0,3,19,4521.49,1
13268.0,18,11,3174.75,1
13269.0,2,15,5343.28,1
13270.0,367,1,590.0,3
13271.0,38,1,211.49,0
13272.0,32,2,276.56,0
13273.0,114,1,138.98,3
13276.0,64,2,590.9300000000001,2
13277.0,16,4,258.4,0
13278.0,41,1,542.73,0
13279.0,79,1,137.75,3
13280.0,123,3,798.46,2
13282.0,19,3,1132.14,2
13283.0,60,2,93.66,3
13284.0,331,1,201.19,3
13285.0,24,4,2709.12,2
13291.0,156,1,361.11,3
13292.0,39,2,578.9399999999999,0
13294.0,190,2,873.74,3
13295.0,360,1,201.20000000000002,3
13296.0,138,1,87.4,3
13297.0,8,4,2089.85,1
13298.0,2,1,360.0,0
13299.0,269,1,142.5,3
13300.0,170,1,371.89,3
13301.0,104,4,618.09,2
13302.0,156,1,63.75,3
13304.0,352,1,300.42,3
13305.0,5,10,2000.86,1
13307.0,121,1,15.0,3
13308.0,23,3,1385.51,2
13309.0,8,5,1456.79,1
13310.0,29,3,1132.03,2
13311.0,5,2,598.57,0
13313.0,23,5,1555.32,2
13314.0,2,3,775.94,0
13316.0,38,4,5732.93,2
13317.0,67,6,2273.68,2
13318.0,2,3,640.76,0
13319.0,6,26,10845.550000000001,1
13320.0,79,4,1532.2,2
13321.0,73,2,567.36,3
13322.0,18,1,199.48000000000002,0
13323.0,4,5,787.85,0
13324.0,37,10,7121.95,1
13325.0,82,1,675.3,3
13327.0,39,8,3627.77,1
13328.0,317,1,1308.48,3
13329.0,32,2,789.0,0
13330.0,93,3,1140.93,2
13332.0,15,1,350.9,0
13334.0,83,3,3502.32,2
13336.0,78,1,795.12,3
13338.0,158,1,487.02,3
13339.0,201,1,860.12,3
13340.0,46,7,10736.48,1
13341.0,261,1,775.85,3
13343.0,178,1,353.43,3
13344.0,68,3,2511.69,2
13345.0,288,1,389.5,3
13347.0,71,1,341.36,3
13348.0,65,1,233.76,3
13349.0,11,1,247.32,0
13350.0,17,2,979.12,0
13351.0,67,1,373.94,3
13352.0,61,1,397.97999999999996,3
13354.0,72,1,743.53,3
13355.0,123,1,674.7,3
13356.0,81,1,768.24,3
13357.0,258,1,609.4,3
13358.0,269,1,439.03,3
13359.0,64,1,439.56,3
13362.0,10,4,3090.7400000000002,1
13363.0,18,2,992.5,0
13364.0,72,1,134.95999999999998,3
13365.0,34,2,2225.37,2
13366.0,51,1,56.160000000000004,3
13368.0,257,2,623.4,3
13369.0,366,1,308.28000000000003,3
13370.0,372,1,754.87,3
13372.0,90,1,378.64,3
13373.0,61,3,3312.25,2
13375.0,89,1,778.65,3
13376.0,100,3,1019.76,2
13379.0,27,3,572.56,0
13381.0,32,6,3639.31,2
13382.0,281,1,222.99,3
13384.0,31,7,4151.93,1
13385.0,330,1,534.57,3
13388.0,132,2,677.1,3
13389.0,12,3,797.96,0
13390.0,75,1,544.08,3
13391.0,204,1,59.8,3
13394.0,2,8,2520.02,1
13395.0,186,1,307.72,3
13396.0,30,2,1360.99,2
13397.0,73,5,1544.13,2
13398.0,193,1,457.34,3
13402.0,128,2,621.23,3
13403.0,18,1,75.0,0
13404.0,2,2,252.49,0
13405.0,75,3,572.451,2
13408.0,2,62,28117.04,1
13410.0,25,5,1003.06,2
13411.0,108,1,213.55,3
13414.0,134,3,1390.5,2
13416.0,44,2,712.5,2
13417.0,5,2,640.83,0
13418.0,12,18,6127.43,1
13419.0,64,1,221.06,3
13420.0,150,2,159.85,3
13421.0,41,2,1833.71,2
13422.0,65,1,2626.3,2
13425.0,109,3,1624.21,2
13426.0,1,10,3641.32,1
13427.0,20,3,582.6,0
13428.0,11,1,201.78,0
13429.0,11,4,1006.8,0
13430.0,19,2,679.45,0
13431.0,68,2,1269.1,2
13434.0,75,2,534.24,3
13435.0,6,7,3809.8900000000003,1
13436.0,2,1,196.89,0
13437.0,15,7,3408.06,1
13439.0,256,1,283.71,3
13441.0,92,1,296.64,3
13447.0,24,3,1129.14,2
13448.0,17,6,3534.69,1
13449.0,24,1,291.88,0
13450.0,27,6,2043.7199999999998,2
13451.0,27,5,2898.2599999999998,2
13452.0,260,2,590.0,3
13453.0,166,2,356.97999999999996,3
13455.0,25,2,1058.34,0
13456.0,18,6,1766.72,2
13458.0,8,14,9646.57,1
13460.0,30,2,183.44,0
13461.0,39,3,1445.0,2
13462.0,253,1,151.5,3
13464.0,59,1,674.68,3
13466.0,185,1,307.9,3
13467.0,11,2,1071.91,0
13468.0,2,37,5704.97,1
13470.0,100,2,165.0,3
13471.0,2,4,2501.84,1
13473.0,61,2,422.64,3
13474.0,237,1,226.84,3
13475.0,192,4,1431.78,2
13476.0,179,2,1238.47,2
13477.0,38,6,1454.58,2
13479.0,201,2,300.95,3
13481.0,46,5,1804.56,2
13482.0,233,1,184.64,3
13483.0,66,1,140.34,3
13484.0,242,1,313.8,3
13485.0,234,1,454.24,3
13486.0,79,3,1122.41,2
13487.0,58,3,575.4,2
13488.0,18,13,8968.31,1
13489.0,106,4,449.52,2
13491.0,52,10,1215.82,2
13492.0,137,3,1269.84,2
13493.0,276,2,618.63,3
13494.0,312,1,316.26000000000005,3
13495.0,8,5,2044.8700000000001,1
13496.0,11,2,653.33,0
13497.0,283,2,348.05,3
13499.0,18,5,1159.11,2
13500.0,24,3,1166.77,2
13501.0,289,1,1340.32,3
13502.0,17,3,292.0,0
13503.0,72,1,216.85,3
13504.0,65,1,295.93,3
13505.0,73,4,4393.63,2
13506.0,317,2,458.52,3
13507.0,4,4,2479.16,1
13508.0,244,1,110.97,3
13509.0,9,7,979.72,1
13510.0,2,4,1791.56,1
13512.0,261,1,251.21,3
13513.0,127,1,205.1,3
